Codigo,Descripcion,Stock_Min_Definido,Stock_Max_Definido,Stock_Admin_Calculado,Total_en_Lotes,Diferencia_Fisica
ME02N00X006                   ,TAPA ENVASE 200 / 500 DE 53 MM FLAT CON LINER UNID. (AZUL PIPITA),0.0,0.0,2907225.0,404652.748,404652.748
ME02N00X022                   ,TAPA ENVASE MED TWIST OFF BOTON 30 MM/NEGRO KETCHUP 397 / 198grs,0.0,0.0,191010.0,350995.0,350995.0
ME02N00X012                   ,TAPA 63 MM FLAT CON LINER (NEGRA DDB),0.0,0.0,613592.0,271108.4,271108.4
ME02N00X015                   ,TAPA ENVASE 200 DE 53 MM FLAT CON LINER UNID. (DDB NEGRA),0.0,0.0,406469.0,248203.8,248203.8
ST01P01X001                   ,MAYONESA PIPITA GRANEL KG,0.0,0.0,2939205.0474,231600.3157,231600.3157
ME03P01X003                   ,ETIQUETA MAYONESA ECONOMICA 500 G. MARCA PIPITA UNID.,0.0,0.0,1316189.0,187000.8,187000.8
ME01N00X039                   ,ENVASE PEAD 200 G. PARA SQUEEZE UNID.,0.0,0.0,1067843.0,166264.1,166264.1
ME03D01X003                   ,ETIQUETA MAYONESA PREMIUM 500 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,487834.0,165934.8,165934.8
ME03P01X005                   ,ETIQUETA MAYONESA ECONOMICA 175 G. MARCA PIPITA UNID.,0.0,0.0,1705583.0,158827.4,158827.4
ME01N00X043                   ,ENVASE 196 G. PEAD MAYONESA UNID.,0.0,0.0,1192959.1,135291.8,135291.8
ME01N00X036                   ,ENVASE GENERICO 445 CC PE NAT RECT,0.0,0.0,902244.4,129350.948,129350.948
ME03D01X005                   ,ETIQUETA MAYONESA PREMIUM 200 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,337702.0,127067.0,127067.0
ST01D01X001                   ,MAYONESA DELICIAS DE BELEN GRANEL KG,0.0,0.0,969637.69556,114953.09444,114953.09444
ME02N00X010                   ,TAPA FLIPTOP SQUEEZE 200 G 33 MM (AZUL PIPITA) UNID.,0.0,0.0,1166319.0,113068.4,113068.4
PT02D01X020                   ,Las Delicias de Belén Ketchup premium Tradicional Vidrio 397g,0.0,0.0,123600.0,108081.0,108081.0
ME02N00X020                   ,PRECINTO 53mm TAPA MAYONESA DDB,0.0,0.0,82500.0,107500.0,107500.0
ME02N00X002                   ,TAPA ENVASE 70 MM METALICA MERMELADA Y DESHIDRATADOS (NEGRA) UNID.,0.0,0.0,352869.0,96201.8,96201.8
ME02N00X021                   ,PRECINTO 63MM TAPA MAYONESA DDB,0.0,0.0,48000.0,96000.0,96000.0
ME03P01X006                   ,ETIQUETA MAYONESA SQUEEZE 200 G. (TIRO)  MARCA PIPITA UNID.,0.0,0.0,1124803.0,93110.4,93110.4
ME01N00X045                   ,ENVASE BOTELLA 508 ML PET,0.0,0.0,241321.0,89796.8,89796.8
ME03P01X007                   ,ETIQUETA MAYONESA SQUEEZE 200 G. (RETIRO)  MARCA PIPITA UNID.,0.0,0.0,1002232.0,88995.7,88995.7
MP01N00X153                   ,AZUCAR BLANCA REFINADA KG,0.0,0.0,103117.53157,79987.28368,79987.28368
ME01N00X021                   ,ENVASE KETCHUP 198 G. VIDRIO UNID.,0.0,0.0,66468.0,79332.0,79332.0
MP01N00X141                   ,PASTA DE TOMATE CON 30-32 BRIX KG,0.0,0.0,,76582.0,76582.0
MP01N00X143                   ,ACEITE DE SOYA KG,0.0,0.0,1393845.1495,71485.18147,71485.18147
ME01N00X046                   ,ENVASE BOTELLA 210ML PET,0.0,0.0,116429.0,68178.0,68178.0
ME02N00X017                   ,TAPA ENVASE 70 MM METALICA MERMELADA Y DESHIDRATADOS CERO (BLANCO) UNID.,0.0,0.0,3208.0,64000.0,64000.0
ME03D01X007                   ,ETIQUETA KETCHUP PRESENTACION 397 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,124352.0,61648.0,61648.0
ME03D01X017                   ,ETIQUETA CUELLOS  KETCHUP PRESENTACION 397 GR. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,125500.0,60500.0,60500.0
ME03D01X009                   ,ETIQUETA KETCHUP PRESENTACION 198 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,66084.0,58416.0,58416.0
ME03D01X011                   ,ETIQUETA CUELLOS  KETCHUP PRESENTACION 198 GR. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,68234.0,56266.0,56266.0
ME01N00X031                   ,ENVASE BOTELLA 204 CC CRISTAL DN BOLSA X 190,0.0,0.0,266196.0,56100.0,56100.0
PT02D01X021                   ,Las Delicias de Belén Ketchup premium Tradicional Vidrio 198g,0.0,0.0,65232.0,52386.0,52386.0
ME01N00X026                   ,ENVASE 200 G. VIDRIO MERMELADAS UNID.,0.0,0.0,433168.0,49553.08,49553.08
MP04N00X019                   ,VINAGRE KG,0.0,0.0,66998.98097,48208.24715,48208.24715
ME03D01X002                   ,ETIQUETA MAYONESA PREMIUM 900 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,108712.0,47738.8,47738.8
ME03P01X001                   ,ETIQUETA MAYONESA ECONOMICA GALON MARCA PIPITA UNID.,0.0,0.0,217928.2,36522.88,36522.88
ME01N00X004                   ,ENVASE 900 G. PET MAYONESA UNID.,0.0,0.0,114773.0,36517.5,36517.5
ME03D01X001                   ,ETIQUETA MAYONESA PREMIUM GALON MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,44868.0,34102.0,34102.0
ME02N00X018                   ,PRECINTO TAPA MERMELADA,0.0,0.0,258508.0,32253.7,32253.7
PT01P01X013                   ,PIPITA Mayonesa Tradicional PEAD 175g,0.0,0.0,1304153.0,30528.0,30528.0
ME01N00X002                   ,"ENVASE GALON PEAD (3,520 ML) UNID.",0.0,0.0,255364.2,30061.68,30061.68
PT01D01X019                   ,Las Delicias de Belén Mayonesa Premium Tradicional PET 445g,0.0,0.0,470618.0,27570.0,27570.0
PT01P01X012                   ,PIPITA Mayonesa Tradicional PEAD 445g,0.0,1000.0,1164765.97211,26719.22789,26719.22789
PT01D01X026                   ,Las Delicias de Belén Mayonesa Premium Tradicional PET 175g,0.0,0.0,313433.0,25377.0,25377.0
ME03D01X006                   ,ETIQUETA SALSA A BASE DE TOMATE  PRESENTACION 3.85 KG GALON  MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,,25170.0,25170.0
ME02N00X014                   ,TAPA ENVASE 110 MM GALON UNID.(DDB NEGRA),0.0,0.0,50599.0,25078.9,25078.9
ME03D16X002                   ,ETIQUETA MERMELADA DE FRESA PREMIUM 250 G. MARCA LAS DELICIAS DE BELEN UNID.,0.0,0.0,75719.0,20905.6,20905.6
PT01P01X017                   ,PIPITA Mayonesa Tradicional PEAD Sqeeze 200g,0.0,0.0,829541.0,20013.0,20013.0
